Library Address,Product Description,1st Sub-category,2nd Sub-category
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Self-ventilated motors – enclosed version>1LM1 motors for converter operation>Line voltage 575 V, 60 Hz – High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Self-ventilated motors – enclosed version>1LM1 motors for converter operation>Line voltage 575 V, 60 Hz – Premium Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – enclosed version>1LQ1 motors for converter operation>Line voltage 400 V, 50 Hz – High Efficiency – low noise",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – enclosed version>1LQ1 motors for converter operation>Line voltage 400 V, 50 Hz – High Efficiency – increased output",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – enclosed version>1LQ1 motors for converter operation>Line voltage 400 V, 50 Hz – Premium Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – enclosed version>1LQ1 motors for converter operation>Line voltage 500 V, 50 Hz – High Efficiency – low noise",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – enclosed version>1LQ1 motors for converter operation>Line voltage 500 V, 50 Hz – High Efficiency – increased output",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – enclosed version>1LQ1 motors for converter operation>Line voltage 500 V, 50 Hz – Premium Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – enclosed version>1LQ1 motors for converter operation>Line voltage 690 V, 50 Hz – High Efficiency – low noise",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – enclosed version>1LQ1 motors for converter operation>Line voltage 690 V, 50 Hz – High Efficiency – increased output",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – enclosed version>1LQ1 motors for converter operation>Line voltage 690 V, 50 Hz – Premium Efficiency – low noise",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – enclosed version>1LQ1 motors for converter operation>Line voltage 460 V, 60 Hz – High Efficiency – low noise",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – enclosed version>1LQ1 motors for converter operation>Line voltage 460 V, 60 Hz – High Efficiency – increased output",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – enclosed version>1LQ1 motors for converter operation>Line voltage 460 V, 60 Hz – Premium Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – enclosed version>1LQ1 motors for converter operation>Line voltage 575 V, 60 Hz – High Efficiency – low noise",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – enclosed version>1LQ1 motors for converter operation>Line voltage 575 V, 60 Hz – High Efficiency – increased output",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – enclosed version>1LQ1 motors for converter operation>Line voltage 575 V, 60 Hz – Premium Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Water-cooled motors with water-jacket cooling>1LH1 motors for converter operation>Line voltage 400 V, 50 Hz – High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Water-cooled motors with water-jacket cooling>1LH1 motors for converter operation>Line voltage 400 V, 50 Hz – Premium Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Water-cooled motors with water-jacket cooling>1LH1 motors for converter operation>Line voltage 500 V, 50 Hz – High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Water-cooled motors with water-jacket cooling>1LH1 motors for converter operation>Line voltage 500 V, 50 Hz – Premium Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Water-cooled motors with water-jacket cooling>1LH1 motors for converter operation>Line voltage 690 V, 50 Hz – High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Water-cooled motors with water-jacket cooling>1LH1 motors for converter operation>Line voltage 690 V, 50 Hz – Premium Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Water-cooled motors with water-jacket cooling>1LH1 motors for converter operation>Line voltage 460 V, 60 Hz – High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Water-cooled motors with water-jacket cooling>1LH1 motors for converter operation>Line voltage 460 V, 60 Hz – Premium Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Water-cooled motors with water-jacket cooling>1LH1 motors for converter operation>Line voltage 575 V, 60 Hz – High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Water-cooled motors with water-jacket cooling>1LH1 motors for converter operation>Line voltage 575 V, 60 Hz – Premium Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Water-cooled motors with water-jacket cooling>1LH1 motors for line operation>Line voltage 400 V, 50 Hz – High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Water-cooled motors with water-jacket cooling>1LH1 motors for line operation>Line voltage 400 V, 50 Hz – Premium Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Water-cooled motors with water-jacket cooling>1LH1 motors for line operation>Line voltage 690 V, 50 Hz – High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Water-cooled motors with water-jacket cooling>1LH1 motors for line operation>Line voltage 690 V, 50 Hz – Premium Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Water-cooled motors with water-jacket cooling>1LH1 motors for line operation>Line voltage 460 V, 60 Hz – High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Water-cooled motors with water-jacket cooling>1LH1 motors for line operation>Line voltage 460 V, 60 Hz – Premium Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Water-cooled motors with air-to-water heat exchanger>1LN1 motors for converter operation>Line voltage 400 V, 50 Hz – High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Water-cooled motors with air-to-water heat exchanger>1LN1 motors for converter operation>Line voltage 500 V, 50 Hz – High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Water-cooled motors with air-to-water heat exchanger>1LN1 motors for converter operation>Line voltage 690 V, 50 Hz – High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Water-cooled motors with air-to-water heat exchanger>1LN1 motors for converter operation>Line voltage 460 V, 60 Hz – High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Water-cooled motors with air-to-water heat exchanger>1LN1 motors for converter operation>Line voltage 575 V, 60 Hz – High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Self-ventilated motors – open version>1LL1 motors for converter operation>Line voltage 400 V, 50 Hz – High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Self-ventilated motors – open version>1LL1 motors for converter operation>Line voltage 500 V, 50 Hz – High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Self-ventilated motors – open version>1LL1 motors for converter operation>Line voltage 690 V, 50 Hz – High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Self-ventilated motors – open version>1LL1 motors for converter operation>Line voltage 460 V, 60 Hz – High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Self-ventilated motors – open version>1LL1 motors for converter operation>Line voltage 575 V, 60 Hz – High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – open version>1LP1 motors for converter operation>Line voltage 400 V, 50 Hz – High Efficiency – low noise",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – open version>1LP1 motors for converter operation>Line voltage 400 V, 50 Hz – High Efficiency – increased output",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – open version>1LP1 motors for converter operation>Line voltage 500 V, 50 Hz – High Efficiency – low noise",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – open version>1LP1 motors for converter operation>Line voltage 500 V, 50 Hz – High Efficiency – increased output",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – open version>1LP1 motors for converter operation>Line voltage 690 V, 50 Hz – High Efficiency – low noise",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – open version>1LP1 motors for converter operation>Line voltage 690 V, 50 Hz – High Efficiency – increased output",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – open version>1LP1 motors for converter operation>Line voltage 460 V, 60 Hz – High Efficiency – low noise",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – open version>1LP1 motors for converter operation>Line voltage 460 V, 60 Hz – High Efficiency – increased output",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – open version>1LP1 motors for converter operation>Line voltage 575 V, 60 Hz – High Efficiency – low noise",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Force-ventilated motors – open version>1LP1 motors for converter operation>Line voltage 575 V, 60 Hz – High Efficiency – increased output",,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>SIMOTICS FD explosion-proof motors,,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Application-specific motors>Marine applications,,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Application-specific motors>Chemical industry,,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Application-specific motors>Water & waste water,,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Application-specific motors>Crane motors for hoisting gear>1LM16, 1LQ6, 1LP6 crane motors – line voltage 480 V>1LM16 – self-ventilated, enclosed version, High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Application-specific motors>Crane motors for hoisting gear>1LM16, 1LQ6, 1LP6 crane motors – line voltage 480 V>1LQ16 – force-ventilated, enclosed version, High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Application-specific motors>Crane motors for hoisting gear>1LM16, 1LQ6, 1LP6 crane motors – line voltage 480 V>1LP16 – force-ventilated, open version, High Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Application-specific motors>Energy storage devices>1LQ17, 1LH17, 1LP17 energy storage devices – line voltage 480 V>1LQ17 – force-cooled, enclosed version, Premium Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Application-specific motors>Energy storage devices>1LQ17, 1LH17, 1LP17 energy storage devices – line voltage 480 V>1LH17 – water-cooled with water-jacket cooling, Premium Efficiency",,Industrial Motor,Low-Voltage Motor
"Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS FD Flexible Duty motors>Application-specific motors>Energy storage devices>1LQ17, 1LH17, 1LP17 energy storage devices – line voltage 480 V>1LP17 – force-ventilated, open version, Premium Efficiency",,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS HT Series HT-direct,,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS DP Definite Purpose motors>Marine motors,,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS DP Definite Purpose motors>SIMOTICS DP smoke extraction motors 1PC1,,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS DP Definite Purpose motors>Steel plant motors 1PC14>Motors with IE3 Premium Efficiency for line operation>Cast-iron series 1PC1433 - Self-ventilated,,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS DP Definite Purpose motors>Steel plant motors 1PC14>Motors for converter operation only>Cast-iron series 1PC1443 - Self-ventilated,,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Specialized Motors>SIMOTICS DP Definite Purpose motors>Steel plant motors 1PC14>Motors for converter operation only>Cast-iron series 1PC1463 - Self-ventilated,,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Non-Standard Motors>SIMOTICS TN Series N-compact Non-Standard Motors>Motors specially designed for mains-fed operation>Cast-iron series 1LA8 - Self-ventilated,,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Non-Standard Motors>SIMOTICS TN Series N-compact Non-Standard Motors>Motors specially designed for mains-fed operation>Cast-iron series 1LL8 - Self-ventilated with through-ventilation,,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Non-Standard Motors>SIMOTICS TN Series N-compact Non-Standard Motors>Motors specially designed for converted-fed operation>Cast-iron series 1LA8 with standard insul. for 500 V - Self-ventilated,,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Non-Standard Motors>SIMOTICS TN Series N-compact Non-Standard Motors>Motors specially designed for converted-fed operation>Cast-iron series 1LA8 with special insul. for 500-690 V - Self-vent.,,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Non-Standard Motors>SIMOTICS TN Series N-compact Non-Standard Motors>Motors specially designed for converted-fed operation>Cast-iron series 1LL8 with standard insul. for 500 V - Self-ventilated,,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Non-Standard Motors>SIMOTICS TN Series N-compact Non-Standard Motors>Motors specially designed for converted-fed operation>Cast-iron series 1LL8 with special insul. for 500-690 V - Self-vent.,,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Non-Standard Motors>SIMOTICS TN Series N-compact Non-Standard Motors>Motors specially designed for converted-fed operation>Cast-iron series 1PQ8 with standard insul. for 500 V - Forced-air c.,,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Non-Standard Motors>SIMOTICS TN Series N-compact Non-Standard Motors>Motors specially designed for converted-fed operation>Cast-iron series 1PQ8 with special insul. for 500-690 V - Forc.-air c.,,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Low-Voltage Motors(standard industrial motors)>IEC motors>Non-Standard Motors>SIMOTICS TN Series H-compact,,Industrial Motor,Low-Voltage Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>1FT7 servomotors>1FT7 for SINAMICS S120,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>1FT7 servomotors>Built-in holding brakes for SIMOTICS S- 1FT7/S-1FK7 motors,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>1FK2 servomotors>1FK2 for SINAMICS S120,,Motion Control Motor,Rotary Motor
"Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>1FK2 servomotors>
 SIMOTICS S-1FK2 servomotors for SINAMICS S210",,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>1FK7 servomotors>1FK7 - Preferred types,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>1FK7 servomotors>1FK7 for SINAMICS S110,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>1FK7 servomotors>1FK7 for SINAMICS S120,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>1FK7 servomotors>1FK7 for SINAMICS S120 Combi,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>1FK7 servomotors>Built-in holding brakes for SIMOTICS S- 1FT7/S-1FK7 motors,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>1FL6 servomotors>SIMOTICS S-1FL6 servomotors for SINAMICS V90,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>SIMOTICS S-1FG1 servo geared motors>Servo helical geared motors,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>SIMOTICS S-1FG1 servo geared motors>Servo parallel shaft geared motors,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>SIMOTICS S-1FG1 servo geared motors>Servo bevel geared motors,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>SIMOTICS S-1FG1 servo geared motors>Servo helical worm geared motors,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>SIMOTICS S-1FK7 servo geared motors>Servo helical geared motors>1FK7 servomotors with helical gearbox,,Motion Control Motor,Rotary Motor
Drive Technology>Motors>Motors for Motion Control>SIMOTICS S servomotors>Servo geared motors>SIMOTICS S-1FK7 servo geared motors>Servo parallel shaft geared motors>1FK7 servomotors with parallel shaft gearbox,,Motion Control Motor,Rotary Motor
